OS,FECHA,CODIGO,VARIEDAD,PROCESO,PRODUCTOR,CLIENTE,GC,RC,M,D,AW,%,Nº,VARIEDAD,PROCESO,PRODUCTOR,CODIGO PRODUCTOR,ORDEN,CLIENTE,FERMENTACION,DETALLE,PRECIO ,CODIGO LOTE,PC0,PC,HC0,HC,GC0,GC,RC0,RC
P,8/05/2026,GE-LA-MACA-2,GEISHA,LAVADO,MAXIMO,PANTIWAYTA,4,"3,485","10,50%",0,0,"12,88%",,,,,,,,,,,,,,,,,,,
51,8/05/2026,OB-LA-ISLA-1,OBATA,LAVADO,ISAIAS,MARIO,7,"6,07","10,30%",0,0,"13,29%",,,,,,,,,,,,,,,,,,,
P,12/05/2026,GE-LA-ALYA-2,GEISHA,LAVADO,ALFONSO,PantIWAYTA,"7,99","6,935","0,00%",0,0,"13,20%",,,,,,,,,,,,,,,,,,,
P,12/05/2026,GE-NA-ISLA-1,GEISHA,NATURAL,IsaIAS,PantIWAYTA,"5,71","4,95","11,00%",0,0,"13,31%",,,,,,,,,,,,,,,,,,,
52,14/05/2026,BL-LA-NN-WAMANKA1,BLEND,LAVADO,NN,WAMANKA,"8,205","6,905","13,10%",0,0,"15,84%",,,,,,,,,,,,,,,,,,,
P,14/05/2026,GE-LA-ALYA-2,GEISHA,LAVADO,ALFONSO,PANtIWAYTA,"5,625","4,87","10,40%",0,0,"13,42%",,,,,,,,,,,,,,,,,,,
P,16/05/2026,BO-LA-ISLA-1,BOURBON,LAVADO,ISAIAS,PANtIWAYTA,4,"3,48","11,00%",0,0,"13,00%",,,,,,,,,,,,,,,,,,,
P,16/05/2026,CA-LA-ALYA-1,BLEND,LAVADO,ALFONSO,PANtIWAYTA,5,"4,3","10,00%",0,0,"14,00%",,,,,,,,,,,,,,,,,,,
53,16/05/2026,GE-LA-ABVI-ISSAC1,GEISHA,LAVADO,ABEL VILCAS,ISSAC,"24,145","20,5","12,70%",0,0,"15,25%",,,,,,,,,,,,,,,,,,,
54,16/05/2026,GE-LA-ABVI-LUIS1,GEISHA,LAVADO,ABEL VILCAS,LUIS,"16,345","14,06","12,50%",0,0,"14,02%",,,,,,,,,,,,,,,,,,,
P,16/05/2026,GE-LA-ISLA-2,GEISHA,LAVADO,ISAIAS,PANtIWAYTA,4,"3,465","11,00%",0,0,"13,38%",,,,,,,,,,,,,,,,,,,
P,20/05/2026,CA-LA-ALYA-1,BLEND,LAVADO,ALFONSO,PANTIWAYTA,6,"5,145","10,70%",0,0,"14,25%",,,,,,,,,,,,,,,,,,,
55,20/05/2026,CA-LA-ALYA-MIROSHNIK1,CATIMOR,LAVADO,ALFONSO,MIROSHNIK,"20,275","17,495","11,30%",0,0,"13,79%",,,,,,,,,,,,,,,,,,,
P,23/05/2026,CA-LA-ALYA-1,BLEND,LAVADO,ALFONSO,PANTIWAYTA,2,"1,708","10,00%",0,0,"14,60%",,,,,,,,,,,,,,,,,,,
P,23/05/2026,GE-LA-ALYA-2,GEISHA,LAVADO,ALFONSO,PANTIWAYTA,"1,795","1,56","0,00%",0,0,"13,09%",,,,,,,,,,,,,,,,,,,
P,23/05/2026,GE-LA-ISLA-1,OBATA,LAVADO,ISAIAS,PANTIWAYTA,"1,245","1,081","9,30%",0,0,"13,17%",,,,,,,,,,,,,,,,,,,
56,23/05/2026,OB-LA-ISLA-1,OBATA,LAVADO,ISAIAS ,MARIO,"3,77","3,265","0,00%",0,0,"13,69%",,,,,,,,,,,,,,,,,,,
57,25/05/2026,GE-LA-ANSE-YANETH1,GEISHA,LAVADO,ANSELMO,YANETH,5,"4,345","10,80%",0,0,"13,10%",,,,,,,,,,,,,,,,,,,
P,25/05/2026,BL-LA-NN-1,SUPERBLEND,LAVADO,NN,PANTIWAYTA,"5,305","4,57","10,60%",0,0,"13,85%",,,,,,,,,,,,,,,,,,,
58,29/05/2026,GE-LA-ISLA-1,OBATA,LAVADO,ISAIAS,LUIS HELADOS,3,"2,6","10,40%",0,0,"13,33%",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,
